CASENUM,VEH_NO,REGION,PSU,PJ,PSU_VAR,URBANICITY,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,PSUSTRAT,WEIGHT
201700463234,1,1,72,1747,72,1,8,1,1,12,12,6,14,0,2,0,35,399,35399,4,2013,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,2,12,0,0,0,777777777777,777777777777,777777777777,1,127.3961837
201700463334,1,1,34,1695,34,1,9,1,1,12,5,35,14,0,2,0,13,399,13399,8,2009,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,11,8,8,12,0,0,0,777777777777,777777777777,777777777777,1,160.23242412
201700464177,2,1,72,1723,72,1,10,1,0,12,22,0,14,0,2,0,2,499,2499,19,2012,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,5,12,0,0,0,777777777777,777777777777,777777777777,1,214.59882978
201700465298,3,1,50,1646,50,2,6,2,0,12,10,47,12,6,2,0,12,499,12499,19,2005,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,7,4,5,12,0,0,0,777777777777,777777777777,777777777777,4,52.311218302
201700465459,2,1,50,1637,50,2,7,1,0,12,7,10,14,0,2,0,20,499,20499,39,2006,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,8,12,0,0,0,777777777777,777777777777,777777777777,4,150.25130192
201700465555,1,1,72,1723,72,1,10,1,0,12,14,0,14,0,2,0,30,399,30399,4,2005,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,8,12,0,0,0,777777777777,777777777777,777777777777,1,214.59882978
201700465621,2,1,72,1723,72,1,9,1,0,12,11,36,14,0,2,0,32,399,32399,4,2013,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,8,5,12,0,0,0,777777777777,777777777777,777777777777,1,159.93221174
201700465950,2,1,72,1723,72,1,5,1,0,12,18,28,14,0,2,0,2,499,2499,19,2006,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,2,12,0,0,0,777777777777,777777777777,777777777777,1,22.134302655
201700466033,2,1,72,1736,72,1,10,1,0,12,12,13,14,0,2,0,34,399,34399,4,1993,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,8,8,12,0,0,0,777777777777,777777777777,777777777777,1,214.59882978
201700466063,1,1,66,1750,66,1,10,1,0,12,6,0,14,0,2,0,12,999,12999,49,2016,888888888888,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,5,8,6,8,8,12,0,0,0,777777777777,777777777777,777777777777,1,179.07646761
