YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1987,2,10062,6,2,2,2,1,1,3,4,2,3,1986,2,2
1987,1,10063,1,5,5,2,1,1,3,4,2,3,1987,2,2
1987,2,10063,3,2,2,2,3,3,3,4,2,3,9999,2,2
1987,1,10064,1,3,3,2,1,1,3,4,2,3,1979,2,2
1987,2,10064,2,2,2,2,1,1,3,4,2,3,1970,2,2
1987,1,10065,1,6,6,2,1,1,3,4,2,3,1981,2,2
1987,2,10065,6,5,5,2,1,1,3,4,2,3,1985,2,2
1987,1,10066,4,2,2,1,1,1,3,4,1,3,1978,2,2
1987,1,10067,4,2,2,2,2,1,3,4,2,3,1980,1,2
1987,2,10067,2,3,3,2,1,1,3,4,2,3,1984,2,2
1987,1,10068,1,2,2,2,1,1,3,4,1,3,1985,2,2
1987,1,10069,1,3,3,2,2,2,3,4,2,3,1975,2,2
1987,2,10069,2,2,2,2,1,1,3,4,2,3,1977,2,2
1987,1,10070,1,2,2,2,1,1,3,4,2,3,1975,2,2
1987,1,10071,2,2,2,2,1,1,3,4,2,3,1978,2,2
1987,1,10073,3,3,3,2,1,1,3,4,2,3,1980,2,2
1987,2,10073,4,2,2,2,1,1,3,4,2,3,1986,2,2
1987,1,10074,1,1,1,1,1,1,3,4,2,3,1982,2,2
1987,1,10075,7,5,5,2,4,1,3,1,2,3,1975,2,2
1987,2,10075,2,2,2,2,2,2,3,4,2,3,1983,2,2
1987,1,10076,6,2,2,1,1,2,3,4,2,3,1974,2,1
1987,2,10076,1,4,4,2,2,2,3,4,2,3,1972,2,2
1987,1,10077,2,1,1,1,1,1,3,4,1,3,1985,2,1
1987,1,10078,2,5,5,2,1,1,3,4,1,3,1973,2,2
1987,1,10079,6,2,2,2,1,1,3,4,2,3,1978,2,2
