YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1982,1,10001,2,1,1,1,1,1,3,4,2,3,1972,2,1
1982,1,10002,1,2,2,1,1,1,3,4,2,3,1969,2,2
1982,1,10003,5,2,2,2,1,1,3,4,1,3,1970,2,2
1982,1,10004,1,2,2,1,1,1,3,4,1,3,1980,2,2
1982,1,10005,1,2,2,2,1,1,3,4,2,3,1966,2,2
1982,1,10006,1,1,1,1,1,1,3,4,2,3,1978,2,2
1982,1,10007,1,2,2,1,1,1,3,4,1,3,1979,2,2
1982,1,10008,1,2,2,2,1,1,3,4,2,3,1973,2,2
1982,2,10008,1,2,2,2,1,1,3,4,2,3,1978,2,2
1982,1,10009,1,2,6,1,1,1,3,4,1,3,1979,2,2
1982,1,10010,6,2,2,2,1,3,3,4,2,3,1977,2,2
1982,2,10010,1,4,4,2,1,1,3,4,2,3,1975,2,2
1982,1,10011,1,2,2,2,1,1,3,4,2,3,1972,2,2
1982,2,10011,1,2,2,2,1,1,3,4,1,3,1977,2,2
1982,1,10012,7,3,3,2,4,1,3,3,2,3,1981,2,2
1982,2,10012,1,2,2,2,1,1,3,4,2,3,1980,2,2
1982,1,10013,1,2,6,2,2,2,3,4,2,3,1969,2,2
1982,1,10014,1,2,2,2,2,2,3,4,1,3,1972,2,2
1982,1,10015,1,2,2,2,2,2,3,4,1,3,1973,2,2
1982,1,10016,1,2,2,2,1,1,3,4,1,3,1981,2,2
1982,1,10017,1,2,2,2,1,1,3,4,1,3,1974,2,2
1982,1,10018,1,2,2,2,1,1,3,4,2,3,1981,2,2
1982,1,10019,5,1,1,1,2,2,3,4,1,3,1975,2,2
1982,1,10020,2,2,2,2,1,1,3,4,2,3,1976,2,2
1982,1,10021,1,3,3,2,1,1,3,4,1,3,1981,2,2
1982,2,10021,2,2,2,2,1,1,3,4,2,3,1977,2,2
1982,1,10022,1,4,4,1,1,1,3,4,1,3,1973,2,2
1982,1,10023,1,4,4,2,1,1,3,4,1,3,1968,2,2
1982,1,10024,1,2,2,2,1,1,3,4,1,3,1972,2,2
1982,1,10025,1,2,2,2,1,1,3,4,2,3,1981,2,2
1982,1,10026,1,5,5,2,1,1,3,4,2,3,1973,2,2
1982,2,10026,6,2,2,2,1,1,3,4,1,3,1976,2,2
1982,1,10027,1,2,2,2,1,1,3,4,1,3,1972,2,2
1982,1,10028,1,2,2,2,1,1,3,4,2,3,1980,2,2
1982,1,10029,5,2,2,2,1,1,3,4,2,3,1973,2,2
1982,2,10029,1,2,2,2,1,1,3,4,2,3,1979,2,2
1982,1,10030,1,2,2,2,1,1,3,4,2,3,1969,2,1
1982,1,10031,1,2,2,2,1,1,3,4,1,3,1975,2,2
1982,1,10032,1,2,6,1,1,1,3,4,1,3,1972,2,2
1982,1,10033,1,2,2,2,1,1,3,4,1,3,1973,2,2
1982,1,10034,2,1,1,1,1,1,3,4,2,3,1979,2,2
1982,1,10035,1,2,2,2,1,1,3,4,2,3,1976,2,2
1982,1,10036,1,2,2,2,1,1,3,4,2,3,1972,2,2
1982,1,10037,2,2,2,2,1,1,3,4,2,3,1976,2,2
1982,1,10038,1,2,2,2,1,1,3,4,1,3,1974,2,2
1982,1,10039,1,2,2,2,1,1,3,4,2,3,1971,2,2
1982,1,10040,1,3,3,1,1,1,3,4,1,3,1977,2,2
1982,1,10041,6,2,2,2,2,3,3,4,2,3,1979,2,2
1982,1,10042,1,2,2,2,1,1,3,4,2,3,1973,2,2
1982,1,10043,1,2,2,2,2,2,3,4,1,3,1971,2,2
1982,2,10043,1,5,5,2,1,1,3,4,2,3,1979,2,2
1982,3,10043,1,5,5,2,1,1,3,4,2,3,1976,2,2
1982,1,10044,6,4,4,2,1,1,3,4,2,3,1979,2,2
1982,2,10044,4,2,2,2,1,1,3,4,1,3,1971,2,2
1982,1,10045,1,2,2,2,1,1,3,4,2,3,1976,2,2
1982,1,10046,1,3,6,1,1,1,3,4,1,3,1963,2,2
1982,1,10047,1,1,1,1,1,1,3,4,1,3,1960,2,2
1982,1,10048,1,2,2,2,1,1,3,4,1,3,1975,2,2
1982,2,10048,1,2,2,2,1,1,3,4,2,3,1979,2,2
1982,1,10049,3,2,2,2,1,1,3,4,1,3,1979,2,2
1982,1,10050,6,2,2,2,2,2,3,4,1,3,1975,2,2
1982,1,10051,1,2,2,2,1,1,3,4,1,3,1972,2,2
1982,1,10052,1,2,2,2,2,2,3,4,1,3,1972,2,2
1982,2,10052,1,3,3,2,1,1,3,4,2,3,1975,2,2
1982,3,10052,1,2,2,2,1,1,3,4,2,3,1972,2,2
1982,1,10053,1,2,2,2,1,1,3,4,2,3,1969,2,2
1982,2,10053,5,2,2,2,1,1,3,4,2,3,1968,2,2
1982,1,10054,1,2,2,2,1,1,3,4,1,3,1972,2,2
1982,1,10055,5,2,2,2,2,2,3,4,2,3,1973,2,2
1982,2,10055,1,5,5,2,2,2,3,4,2,3,1966,2,2
1982,1,10056,1,2,2,2,1,1,3,4,2,3,1975,2,2
1982,2,10056,5,4,4,2,2,2,3,4,2,3,1966,2,2
1982,1,10057,1,5,5,2,1,1,3,4,2,3,1966,2,2
1982,2,10057,7,2,2,2,4,1,3,3,2,3,1980,2,2
1982,1,10058,2,2,2,2,1,1,3,4,2,3,1974,2,2
1982,1,10059,1,2,2,2,1,1,3,4,2,3,1970,2,2
1982,1,10060,6,2,2,2,3,3,3,4,2,3,1978,2,2
1982,1,10061,6,2,2,2,1,1,3,4,2,3,1979,2,2
1982,1,10062,2,2,2,2,1,1,3,4,2,3,1976,2,2
1982,2,10062,1,5,5,2,2,2,3,4,2,3,1971,2,2
1982,1,10063,9,7,7,2,3,3,3,4,2,3,9999,2,2
1982,1,10064,1,2,2,2,1,1,3,4,2,3,1970,2,2
1982,1,10065,7,2,2,2,4,1,3,3,2,3,1979,2,2
1982,2,10065,1,2,2,2,2,2,3,4,2,3,1975,2,2
1982,1,10066,1,6,6,1,1,1,3,4,2,3,1971,2,2
1982,1,10067,1,2,2,2,1,1,3,4,2,3,1979,2,2
1982,1,10068,1,2,2,1,1,1,3,4,1,3,1979,2,2
1982,1,10069,1,2,2,2,1,1,3,4,2,3,1974,2,2
1982,2,10069,2,2,2,2,1,1,3,4,2,3,1981,2,2
1982,1,10070,1,2,2,2,1,1,3,4,2,3,1967,2,2
1982,2,10070,1,3,3,1,2,2,3,4,2,3,1974,2,2
1982,1,10071,1,5,5,2,1,1,3,4,1,3,1980,2,2
1982,2,10071,1,2,2,2,1,1,3,4,2,3,1979,2,2
1982,1,10072,1,6,6,1,1,1,3,4,1,3,1976,2,2
1982,1,10073,1,2,2,1,1,1,3,4,1,3,1972,2,2
1982,1,10074,2,2,2,2,1,1,3,4,2,3,1980,2,2
1982,2,10074,1,2,2,2,1,1,3,4,2,3,1970,2,2
1982,1,10075,1,2,2,2,1,1,3,4,2,3,1976,2,2
1982,2,10075,2,2,2,2,1,1,3,4,2,3,1969,2,2
1982,1,10076,2,2,2,2,1,1,3,4,2,3,1981,2,2
1982,1,10077,2,2,2,1,1,1,3,4,1,3,1980,2,1
1982,1,10078,2,1,1,2,1,1,3,4,1,3,1970,2,2
1982,2,10078,9,1,1,1,1,1,3,4,1,3,1970,2,2
1982,1,10079,1,2,2,2,1,1,3,4,2,3,1967,2,2
1982,1,10080,1,4,4,2,1,1,3,4,2,3,1979,2,2
1982,1,10081,1,2,2,1,2,2,3,4,1,3,1964,2,2
1982,1,10082,1,2,2,2,1,1,3,4,1,3,1976,2,2
1982,1,10083,1,3,3,1,3,3,3,4,1,3,1973,2,2
1982,1,10084,1,2,2,2,1,1,3,4,1,3,1979,2,2
1982,1,10085,1,1,1,1,1,1,3,4,1,3,1978,2,2
1982,1,10086,1,3,3,2,3,3,3,4,2,3,1972,2,2
1982,1,10087,7,1,1,2,4,1,3,3,2,3,1981,2,2
1982,1,10088,1,2,2,2,1,1,3,4,1,3,1976,2,2
1982,1,10089,1,2,2,2,1,1,3,4,2,3,1975,2,2
1982,2,10089,6,2,2,2,1,1,3,4,2,3,1977,2,2
1982,1,10090,6,4,4,2,2,2,3,4,2,3,1979,2,2
1982,2,10090,1,2,2,2,1,1,3,4,1,3,1978,2,2
1982,1,10091,1,6,6,2,1,1,3,4,2,3,1981,2,2
1982,1,10093,1,2,2,2,1,1,3,4,2,3,1977,2,2
1982,1,10094,2,2,2,2,1,1,3,4,1,3,1978,2,2
1982,1,10095,1,2,2,2,1,1,3,4,2,3,1981,2,2
1982,2,10095,2,2,2,2,1,1,3,4,2,3,1978,2,2
1982,1,10096,9,2,2,2,3,3,3,4,2,3,9999,2,2
1982,1,10097,2,5,5,2,1,1,3,4,2,3,1982,2,2
1982,2,10097,1,6,6,2,1,1,3,4,2,3,1976,2,2
1982,1,10098,1,2,2,2,1,1,3,4,2,3,1975,2,2
1982,2,10098,1,2,2,2,1,1,3,4,2,3,1974,1,2
1982,1,10099,1,2,2,2,1,1,3,4,2,3,1978,2,2
1982,1,10100,2,2,2,2,1,1,3,4,2,3,1981,2,2
1982,1,10101,1,2,2,2,1,1,3,4,2,3,1979,2,2
1982,2,10101,1,2,2,2,1,1,3,4,1,3,1973,2,2
1982,1,10102,7,2,2,2,4,2,3,3,1,3,1977,2,2
1982,1,10103,1,2,2,2,1,1,3,4,1,3,1976,2,2
1982,1,10104,1,2,2,2,1,1,3,4,2,3,1980,2,2
1982,2,10104,1,2,2,2,1,1,3,4,2,3,1978,2,2
1982,1,10105,1,2,2,2,2,2,3,4,2,3,1976,2,2
1982,2,10105,1,2,2,2,1,1,3,4,2,3,1978,2,2
1982,1,10106,1,2,2,1,2,2,3,4,1,3,1974,2,2
1982,1,10107,1,2,2,2,1,1,3,4,2,3,1967,2,2
1982,1,10108,1,2,2,2,1,1,3,4,1,3,1974,2,2
1982,2,10108,1,2,2,2,1,1,3,4,2,3,1974,2,2
1982,1,10109,2,6,6,1,1,1,3,4,1,3,1982,2,2
1982,1,10110,1,2,2,2,1,1,3,4,1,3,1982,2,2
1982,2,10110,1,2,2,2,1,1,3,4,2,3,1970,2,2
1982,1,10111,1,2,2,1,2,2,3,4,1,3,1972,2,2
1982,2,10111,6,4,4,2,2,2,3,4,2,3,1975,2,2
1982,1,10112,1,1,1,1,2,2,3,4,2,3,1969,2,2
1982,1,10113,2,2,2,2,1,1,3,4,2,3,1967,2,2
1982,1,10114,1,2,2,2,2,2,3,4,1,3,1969,2,2
1982,1,10115,2,2,2,2,1,1,3,4,2,3,1966,2,2
1982,2,10115,1,5,5,2,1,1,3,4,2,3,1969,2,2
1982,1,10116,1,3,3,2,2,2,3,4,2,3,1963,2,2
1982,2,10116,1,2,2,2,1,1,3,4,2,3,1974,2,2
1982,1,10117,2,6,6,1,1,1,3,4,1,3,1978,2,2
1982,1,10118,1,2,2,2,1,1,3,4,2,3,1980,2,2
1982,2,10118,4,2,2,2,1,1,3,4,2,3,1976,2,2
1982,1,10119,6,2,2,2,1,1,3,4,1,3,1975,2,2
1982,2,10119,1,4,2,2,1,1,3,4,1,3,1979,2,2
1982,1,10120,1,3,3,2,2,2,3,4,1,3,1964,2,2
1982,1,10121,1,2,2,2,1,1,3,4,1,3,1979,2,2
1982,1,10122,5,3,6,1,1,1,3,4,1,3,1977,2,2
1982,1,10123,1,2,2,2,1,1,3,4,2,3,1979,2,2
1982,1,10124,1,2,2,2,1,1,3,4,2,3,1981,2,2
1982,1,10125,1,2,2,2,1,1,3,4,2,3,1979,2,2
1982,2,10125,1,2,2,2,2,2,3,4,2,3,1972,2,2
1982,3,10125,1,4,4,2,1,1,3,4,2,3,1971,2,2
1982,1,10126,2,2,2,2,1,1,3,4,2,3,1979,2,2
1982,2,10126,7,2,2,2,4,1,3,3,1,3,1981,2,2
1982,1,10127,1,5,5,2,1,1,3,4,1,3,1974,2,2
1982,1,10128,2,2,2,2,1,1,3,4,1,3,1980,2,2
1982,1,10129,6,2,2,2,1,1,3,4,2,3,1979,2,2
1982,2,10129,4,2,2,2,1,1,3,4,2,3,1978,2,2
1982,1,10130,2,2,2,2,2,2,3,4,2,3,1974,2,2
