YEAR,CASENUM,WEIGHT,A_CRAINJ,A_INTER,A_RELRD,A_INTSEC,A_JUNC,A_MANCOL,A_TOD,A_DOW,A_CT,A_HR,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24
2016,201600016261,317.68153186,3,2,1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016301,139.83639947,2,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016319,219.79547524,3,2,1,2,2,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016321,186.63475792,2,2,1,1,1,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016323,268.97048065,2,2,4,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,1,1
2016,201600016343,137.27110719,2,2,1,2,3,4,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016363,181.67007486,2,2,1,2,2,5,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016366,54.086402529,2,2,1,1,1,4,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,1
2016,201600016371,9.744295665,2,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016399,140.52306969,3,2,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016403,119.83077837,2,2,1,1,1,5,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016410,208.54041791,3,2,1,2,3,2,1,1,2,2,2,2,2,2,2,2,1,2,1,2,1,2,2
2016,201600016422,52.727176845,2,2,1,1,1,4,2,1,2,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600016430,139.83639946,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1
2016,201600016442,540.79363666,2,2,1,1,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
2016,201600016448,31.455210339,2,2,4,2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600016454,540.79363666,2,2,1,1,1,4,1,2,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1
2016,201600016488,24.56993937,2,2,1,2,3,4,1,1,2,1,2,2,2,2,2,2,2,2,1,1,2,2,1
