CASENUM,VEH_NO,PSU,PJ,STRATUM,PVE_FORMS,PNUMOCCS,PMONTH,PHOUR,PMINUTE,PHARM_EV,PMAN_COLL,PTYPE,PHIT_RUN,PMAKE,PMODEL,PMAK_MOD,PBODYTYP,PMODYEAR,PVIN,PTRAILER,PMCARR_I1,PMCARR_I2,PMCARR_ID,PGVWR,PV_CONFIG,PCARGTYP,PHAZ_INV,PHAZPLAC,PHAZ_ID,PHAZ_CNO,PHAZ_REL,PBUS_USE,PSP_USE,PEM_USE,PIMPACT1,PVEH_SEV,PTOWED,PM_HARM,PVEH_SC1,PVEH_SC2,PFIRE,PTRLR1VIN,PTRLR2VIN,PTRLR3VIN,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600020303,2,82,2168,10,1,0,1,10,29,14,0,2,0,2,405,2405,14,2005,1J4GL58K55W5,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,8,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,19,82,188.64206033
201600020484,2,44,388,10,1,0,2,14,2,14,0,2,0,49,40,49040,4,1994,JT2GK13E8R00,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,61,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,317.68153186
201600020484,3,44,388,10,1,0,2,14,2,14,0,2,0,35,39,35039,4,1995,JN1CA21D2ST0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,63,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,4,25,44,317.68153186
201600020782,3,40,3077,7,2,1,1,12,45,12,6,2,0,2,404,2404,14,1993,1J4FJ27S9PL6,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,83,8,3,12,0,0,0,777777777777,777777777777,777777777777,1,3,15,40,322.7538975
201600021246,2,70,137,10,1,0,2,3,34,14,0,2,0,12,481,12481,31,2007,1FTSW21P17EB,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,12,4,5,12,0,0,0,777777777777,777777777777,777777777777,2,3,16,70,215.218122
201600021338,3,48,85,5,2,0,1,20,15,12,6,3,0,51,42,51042,4,1996,YV1LS5726T22,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,4,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,12,48,31.455210339
201600021338,4,48,85,5,2,0,1,20,15,12,6,3,0,2,482,2482,31,1987,1JTMW6419HT0,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,12,48,31.455210339
201600022641,2,60,257,10,1,0,1,3,41,14,0,2,0,20,481,20481,31,1995,999999999999,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,6,2,5,12,0,0,0,777777777777,777777777777,777777777777,1,4,21,60,475.61102416
201600022851,2,46,353,10,1,1,1,18,0,14,0,2,0,98,804,98804,66,2016,5KKHAXDV3GPH,1,77,777777777,77777777777,3,6,11,1,0,0,0,0,0,0,0,12,8,5,12,0,0,0,999999999999,777777777777,777777777777,1,4,22,46,292.62224234
201600024105,2,65,2851,10,1,0,1,7,45,14,0,2,0,20,481,20481,31,2006,1GBHC24U56E1,0,0,000000000,00000000000,0,0,0,1,0,0,0,0,0,0,0,9,6,5,12,0,0,0,777777777777,777777777777,777777777777,1,3,13,65,268.97048064
