CASENUM,VEH_NO,PSU,PJ,STRATUM,MDRDSTRD,URBANICITY,REGION,PSUSTRAT,PSU_VAR,WEIGHT
201600016301,2,65,2857,8,0,1,3,13,65,139.83639947
201600016319,1,44,388,9,0,2,4,25,44,219.79547524
201600016319,2,44,388,9,0,2,4,25,44,219.79547524
201600016321,1,44,388,8,0,2,4,25,44,186.63475792
201600016321,2,44,388,8,0,2,4,25,44,186.63475792
201600016323,1,65,2855,10,98,1,3,13,65,268.97048065
201600016343,1,27,893,8,0,1,2,6,27,137.27110719
201600016343,2,27,893,8,0,1,2,6,27,137.27110719
201600016363,1,65,2855,9,99,1,3,13,65,181.67007486
201600016363,2,65,2855,9,98,1,3,13,65,181.67007486
201600016366,1,65,2855,6,0,1,3,13,65,54.086402529
201600016366,2,65,2855,6,0,1,3,13,65,54.086402529
201600016371,1,27,893,4,0,1,2,6,27,9.744295665
201600016371,2,27,893,4,0,1,2,6,27,9.744295665
201600016399,1,27,893,9,0,1,2,6,27,140.52306969
201600016399,2,27,893,9,0,1,2,6,27,140.52306969
201600016403,1,27,893,7,0,1,2,6,27,119.83077837
201600016403,2,27,893,7,0,1,2,6,27,119.83077837
201600016410,1,27,893,10,0,1,2,6,27,208.54041791
201600016410,2,27,893,10,0,1,2,6,27,208.54041791
201600016422,1,27,893,6,0,1,2,6,27,52.727176845
201600016422,2,27,893,6,0,1,2,6,27,52.727176845
201600016430,1,65,2855,8,0,1,3,13,65,139.83639946
201600016430,2,65,2855,8,0,1,3,13,65,139.83639946
201600016442,1,48,91,10,0,1,3,12,48,540.79363666
201600016442,2,48,91,10,0,1,3,12,48,540.79363666
201600016448,1,48,91,5,0,1,3,12,48,31.455210339
201600016454,1,48,85,10,12,1,3,12,48,540.79363666
201600016454,2,48,85,10,0,1,3,12,48,540.79363666
201600016488,1,27,893,5,0,1,2,6,27,24.56993937
201600016488,2,27,893,5,0,1,2,6,27,24.56993937
201600016493,1,27,893,2,0,1,2,6,27,23.77303521
201600016502,1,27,893,10,0,1,2,6,27,208.54041791
201600016551,1,27,893,9,0,1,2,6,27,140.52306969
201600016551,2,27,893,9,0,1,2,6,27,140.52306969
201600016581,1,65,2853,8,0,1,3,13,65,139.83639946
201600016581,2,65,2853,8,0,1,3,13,65,139.83639946
201600016594,1,27,893,10,0,1,2,6,27,208.54041791
201600016594,2,27,893,10,0,1,2,6,27,208.54041791
201600016608,1,27,893,9,0,1,2,6,27,140.52306969
201600016608,2,27,893,9,0,1,2,6,27,140.52306969
201600016637,1,27,893,10,0,1,2,6,27,208.54041791
201600016637,2,27,893,10,0,1,2,6,27,208.54041791
201600016644,1,27,893,6,0,1,2,6,27,52.727176845
201600016644,2,27,893,6,0,1,2,6,27,52.727176845
201600016648,1,27,893,2,0,1,2,6,27,23.77303521
201600016762,1,65,2851,8,12,1,3,13,65,139.83639946
201600016836,1,37,3200,6,0,2,4,24,37,74.143559476
201600016836,2,37,3200,6,0,2,4,24,37,74.143559476
201600016851,1,37,3200,8,0,2,4,24,37,177.64162702
201600016851,2,37,3200,8,0,2,4,24,37,177.64162702
201600016856,1,37,3200,10,0,2,4,24,37,322.7347052
201600016856,2,37,3200,10,0,2,4,24,37,322.7347052
201600016866,1,37,3201,10,0,2,4,24,37,322.7347052
201600016876,1,37,3201,8,0,2,4,24,37,177.64162702
201600016876,2,37,3201,8,0,2,4,24,37,177.64162702
201600016894,1,48,91,9,17,1,3,12,48,427.41720998
201600016894,2,48,91,9,0,1,3,12,48,427.41720998
201600016905,1,70,46,8,0,2,3,16,70,130.17618946
201600016905,2,70,46,8,0,2,3,16,70,130.17618946
201600016912,1,70,46,7,0,2,3,16,70,129.82708256
201600016912,2,70,46,7,0,2,3,16,70,129.82708256
201600016913,1,70,46,9,7,2,3,16,70,146.52410486
201600016913,2,70,46,9,0,2,3,16,70,146.52410486
201600016915,1,70,47,10,10,2,3,16,70,215.218122
201600016915,2,70,47,10,0,2,3,16,70,215.218122
201600016919,1,70,46,10,0,2,3,16,70,215.218122
201600016919,2,70,46,10,0,2,3,16,70,215.218122
201600016926,1,70,46,8,0,2,3,16,70,130.17618946
201600016941,1,70,137,9,0,2,3,16,70,146.52410486
201600016941,2,70,137,9,0,2,3,16,70,146.52410486
201600016941,3,70,137,9,0,2,3,16,70,146.52410486
201600016943,1,70,137,10,0,2,3,16,70,215.218122
201600016943,2,70,137,10,0,2,3,16,70,215.218122
201600016945,1,70,137,8,0,2,3,16,70,130.17618946
201600016945,2,70,137,8,0,2,3,16,70,130.17618946
201600016950,1,70,137,9,0,2,3,16,70,146.52410486
201600016950,2,70,137,9,0,2,3,16,70,146.52410486
201600016963,1,70,138,9,0,2,3,16,70,146.52410486
201600016963,2,70,138,9,0,2,3,16,70,146.52410486
201600016964,1,70,138,5,0,2,3,16,70,29.895221382
201600016964,2,70,138,5,0,2,3,16,70,29.895221382
201600016971,1,70,138,9,0,2,3,16,70,146.52410486
201600016971,2,70,138,9,0,2,3,16,70,146.52410486
201600016975,1,70,138,10,10,2,3,16,70,215.218122
201600016975,2,70,138,10,0,2,3,16,70,215.218122
201600016981,1,70,138,6,0,2,3,16,70,51.573654892
201600016981,2,70,138,6,0,2,3,16,70,51.573654892
201600016989,1,70,138,10,0,2,3,16,70,215.218122
201600016989,2,70,138,10,0,2,3,16,70,215.218122
201600016995,1,70,138,9,0,2,3,16,70,146.52410486
201600016995,2,70,138,9,0,2,3,16,70,146.52410486
201600017002,1,70,138,6,10,2,3,16,70,51.573654892
201600017002,2,70,138,6,0,2,3,16,70,51.573654892
201600017002,3,70,138,6,0,2,3,16,70,51.573654892
201600017004,1,70,138,8,0,2,3,16,70,130.17618946
201600017004,2,70,138,8,0,2,3,16,70,130.17618946
201600017004,3,70,138,8,0,2,3,16,70,130.17618946
201600017006,1,70,138,10,99,2,3,16,70,215.218122
201600017023,1,48,85,5,0,1,3,12,48,27.373814448
201600017057,1,48,85,5,0,1,3,12,48,31.455210339
201600017057,2,48,85,5,0,1,3,12,48,31.455210339
201600017062,1,48,91,10,1,1,3,12,48,540.79363666
201600017062,2,48,91,10,0,1,3,12,48,540.79363666
201600017065,1,48,85,6,0,1,3,12,48,157.28668893
201600017065,2,48,85,6,0,1,3,12,48,157.28668893
201600017069,1,48,91,5,10,1,3,12,48,31.455210339
201600017069,2,48,91,5,0,1,3,12,48,31.455210339
201600017123,1,60,232,10,0,1,4,21,60,475.61102416
201600017123,2,60,232,10,0,1,4,21,60,475.61102416
201600017143,1,60,232,8,0,1,4,21,60,292.47533004
201600017143,2,60,232,8,0,1,4,21,60,292.47533004
201600017146,1,60,232,2,99,1,4,21,60,54.432709771
201600017170,1,60,232,6,0,1,4,21,60,111.52292502
201600017170,2,60,232,6,0,1,4,21,60,111.52292502
201600017191,1,60,232,2,1,1,4,21,60,54.432709771
201600017230,1,60,232,6,0,1,4,21,60,111.52292502
201600017230,2,60,232,6,0,1,4,21,60,111.52292502
201600017255,1,60,232,2,1,1,4,21,60,54.432709771
201600017272,1,60,232,6,98,1,4,21,60,111.52292502
201600017282,1,60,232,9,1,1,4,21,60,323.56322855
201600017282,2,60,232,9,0,1,4,21,60,323.56322855
201600017286,1,10,329,2,0,1,4,21,10,82.836785936
201600017314,1,30,2199,9,0,1,3,14,30,141.36449051
201600017314,2,30,2199,9,0,1,3,14,30,141.36449051
201600017348,1,46,362,9,0,1,4,22,46,190.36350382
201600017348,2,46,362,9,0,1,4,22,46,190.36350382
201600017363,1,46,362,10,0,1,4,22,46,292.62224233
201600017384,1,27,893,8,0,1,2,6,27,137.27110719
201600017384,2,27,893,8,0,1,2,6,27,137.27110719
201600017388,1,27,893,9,0,1,2,6,27,140.52306969
201600017388,2,27,893,9,0,1,2,6,27,140.52306969
201600017399,1,27,893,5,0,1,2,6,27,24.56993937
201600017608,1,65,2854,7,98,1,3,13,65,174.05401633
201600017608,2,65,2854,7,0,1,3,13,65,174.05401633
201600017625,1,65,2854,9,0,1,3,13,65,181.67007486
201600017625,2,65,2854,9,98,1,3,13,65,181.67007486
201600017694,1,65,2854,8,0,1,3,13,65,139.83639946
201600017694,2,65,2854,8,0,1,3,13,65,139.83639946
201600017728,1,46,362,6,0,1,4,22,46,59.69605321
201600017728,2,46,362,6,0,1,4,22,46,59.69605321
201600017781,1,65,2854,10,0,1,3,13,65,268.97048064
201600017781,2,65,2854,10,0,1,3,13,65,268.97048064
201600017782,1,46,362,7,0,1,4,22,46,190.80745571
201600017782,2,46,362,7,0,1,4,22,46,190.80745571
201600017785,1,46,362,8,0,1,4,22,46,161.03680272
201600017785,2,46,362,8,0,1,4,22,46,161.03680272
201600017796,1,46,362,10,0,1,4,22,46,292.62224233
201600017796,2,46,362,10,0,1,4,22,46,292.62224233
201600017799,1,46,362,9,0,1,4,22,46,190.36350382
201600017799,2,46,362,9,0,1,4,22,46,190.36350382
201600017899,1,65,2853,10,0,1,3,13,65,268.97048064
201600017900,1,65,2853,6,0,1,3,13,65,54.086402528
201600017900,2,65,2853,6,12,1,3,13,65,54.086402528
201600018097,1,65,2853,9,99,1,3,13,65,181.67007486
201600018097,2,65,2853,9,0,1,3,13,65,181.67007486
201600018174,1,48,91,8,0,1,3,12,48,326.43196105
201600018175,1,48,91,5,0,1,3,12,48,31.455210339
201600018175,2,48,91,5,0,1,3,12,48,31.455210339
201600018178,1,48,91,6,0,1,3,12,48,157.28668893
201600018190,1,48,91,9,0,1,3,12,48,427.41720998
201600018190,2,48,91,9,0,1,3,12,48,427.41720998
201600018190,3,48,91,9,0,1,3,12,48,427.41720998
201600018190,4,48,91,9,0,1,3,12,48,427.41720998
201600018198,1,48,85,8,0,1,3,12,48,326.43196105
201600018198,2,48,85,8,0,1,3,12,48,326.43196105
201600018200,1,48,85,5,0,1,3,12,48,27.373814448
201600018206,1,48,91,10,0,1,3,12,48,540.79363666
201600018206,2,48,91,10,0,1,3,12,48,540.79363666
201600018221,1,70,46,8,1,2,3,16,70,130.17618946
201600018221,2,70,46,8,0,2,3,16,70,130.17618946
201600018228,1,70,46,6,1,2,3,16,70,51.573654892
201600018228,2,70,46,6,0,2,3,16,70,51.573654892
201600018229,1,70,46,5,98,2,3,16,70,29.895221382
201600018231,1,70,46,10,0,2,3,16,70,215.218122
201600018231,2,70,46,10,0,2,3,16,70,215.218122
201600018235,1,70,46,7,0,2,3,16,70,129.82708256
201600018236,1,70,46,9,0,2,3,16,70,146.52410486
201600018236,2,70,46,9,0,2,3,16,70,146.52410486
201600018244,1,70,46,5,98,2,3,16,70,29.895221382
201600018247,1,70,46,5,0,2,3,16,70,29.895221382
201600018249,1,70,46,9,0,2,3,16,70,146.52410486
201600018259,1,70,46,6,0,2,3,16,70,51.573654892
201600018260,1,70,46,5,0,2,3,16,70,29.895221382
201600018260,2,70,46,5,0,2,3,16,70,29.895221382
201600018262,1,70,46,9,0,2,3,16,70,146.52410486
201600018269,1,70,46,10,0,2,3,16,70,215.218122
201600018269,2,70,46,10,0,2,3,16,70,215.218122
201600018270,1,70,47,9,1,2,3,16,70,146.52410486
201600018280,1,70,137,10,99,2,3,16,70,215.218122
201600018280,2,70,137,10,0,2,3,16,70,215.218122
201600018282,1,70,137,2,12,2,3,16,70,28.248233112
201600018284,1,70,137,9,0,2,3,16,70,146.52410486
201600018284,2,70,137,9,0,2,3,16,70,146.52410486
201600018293,1,70,137,6,99,2,3,16,70,51.573654892
201600018293,2,70,137,6,0,2,3,16,70,51.573654892
201600018293,3,70,137,6,0,2,3,16,70,51.573654892
201600018293,4,70,137,6,0,2,3,16,70,51.573654892
201600018294,1,70,137,9,99,2,3,16,70,146.52410486
201600018294,2,70,137,9,0,2,3,16,70,146.52410486
201600018300,1,70,137,10,0,2,3,16,70,215.218122
201600018302,1,70,138,9,0,2,3,16,70,146.52410486
201600018302,2,70,138,9,0,2,3,16,70,146.52410486
201600018309,1,70,138,6,99,2,3,16,70,51.573654892
201600018309,2,70,138,6,0,2,3,16,70,51.573654892
201600018313,1,70,138,10,0,2,3,16,70,215.218122
201600018313,2,70,138,10,0,2,3,16,70,215.218122
201600018315,1,70,138,9,0,2,3,16,70,146.52410486
201600018315,2,70,138,9,0,2,3,16,70,146.52410486
201600018324,1,70,138,9,1,2,3,16,70,146.52410486
201600018324,2,70,138,9,0,2,3,16,70,146.52410486
201600018326,1,70,138,7,99,2,3,16,70,129.82708256
201600018326,2,70,138,7,0,2,3,16,70,129.82708256
201600018333,1,70,138,8,1,2,3,16,70,130.17618946
201600018333,2,70,138,8,0,2,3,16,70,130.17618946
201600018335,1,70,138,10,5,2,3,16,70,215.218122
201600018335,2,70,138,10,0,2,3,16,70,215.218122
201600018344,1,70,138,9,0,2,3,16,70,146.52410486
201600018344,2,70,138,9,0,2,3,16,70,146.52410486
201600018351,1,70,138,8,0,2,3,16,70,130.17618946
201600018351,2,70,138,8,0,2,3,16,70,130.17618946
201600018353,1,70,138,5,0,2,3,16,70,29.895221382
201600018356,1,70,138,5,10,2,3,16,70,29.895221382
201600018356,2,70,138,5,0,2,3,16,70,29.895221382
201600018357,1,70,138,9,0,2,3,16,70,146.52410486
201600018357,2,70,138,9,0,2,3,16,70,146.52410486
201600018358,1,70,138,10,0,2,3,16,70,215.218122
201600018358,2,70,138,10,0,2,3,16,70,215.218122
201600018359,1,70,138,6,0,2,3,16,70,51.573654892
201600018359,2,70,138,6,0,2,3,16,70,51.573654892
201600018393,1,70,46,8,0,2,3,16,70,130.17618946
201600018404,1,70,46,7,0,2,3,16,70,129.82708256
201600018404,2,70,46,7,0,2,3,16,70,129.82708256
201600018407,1,70,46,9,0,2,3,16,70,146.52410486
201600018414,1,70,46,10,0,2,3,16,70,215.218122
201600018414,2,70,46,10,0,2,3,16,70,215.218122
201600018419,1,70,46,6,0,2,3,16,70,51.573654892
201600018423,1,70,47,10,0,2,3,16,70,215.218122
201600018434,1,70,46,6,0,2,3,16,70,51.573654892
201600018434,2,70,46,6,0,2,3,16,70,51.573654892
201600018457,1,70,46,8,0,2,3,16,70,130.17618946
201600018457,2,70,46,8,0,2,3,16,70,130.17618946
201600018462,1,46,362,10,0,1,4,22,46,292.62224233
201600018462,2,46,362,10,0,1,4,22,46,292.62224233
201600018462,3,46,362,10,0,1,4,22,46,292.62224233
201600018465,1,70,137,6,99,2,3,16,70,51.573654892
201600018465,2,70,137,6,0,2,3,16,70,51.573654892
201600018485,1,70,138,9,99,2,3,16,70,146.52410486
201600018485,2,70,138,9,0,2,3,16,70,146.52410486
201600018488,1,70,138,10,0,2,3,16,70,215.218122
201600018488,2,70,138,10,0,2,3,16,70,215.218122
201600018497,1,70,138,9,17,2,3,16,70,146.52410486
201600018497,2,70,138,9,0,2,3,16,70,146.52410486
201600018498,1,70,138,8,3,2,3,16,70,130.17618946
201600018498,2,70,138,8,0,2,3,16,70,130.17618946
201600018498,3,70,138,8,0,2,3,16,70,130.17618946
201600018504,1,70,138,10,0,2,3,16,70,215.218122
201600018504,2,70,138,10,0,2,3,16,70,215.218122
201600018509,1,70,138,6,0,2,3,16,70,51.573654892
201600018509,2,70,138,6,0,2,3,16,70,51.573654892
201600018518,1,70,138,5,99,2,3,16,70,29.895221382
201600018518,2,70,138,5,0,2,3,16,70,29.895221382
201600018518,3,70,138,5,0,2,3,16,70,29.895221382
201600018518,4,70,138,5,0,2,3,16,70,29.895221382
201600018526,1,70,138,9,99,2,3,16,70,146.52410486
201600018526,2,70,138,9,0,2,3,16,70,146.52410486
201600018528,1,70,138,8,17,2,3,16,70,130.17618946
201600018528,2,70,138,8,0,2,3,16,70,130.17618946
201600018535,1,70,138,10,0,2,3,16,70,215.218122
201600018535,2,70,138,10,0,2,3,16,70,215.218122
201600018535,3,70,138,10,99,2,3,16,70,215.218122
201600018545,1,70,138,9,99,2,3,16,70,146.52410486
201600018545,2,70,138,9,0,2,3,16,70,146.52410486
201600018548,1,70,138,10,0,2,3,16,70,215.218122
201600018548,2,70,138,10,0,2,3,16,70,215.218122
201600018554,1,46,362,9,0,1,4,22,46,190.36350382
201600018554,2,46,362,9,0,1,4,22,46,190.36350382
201600018567,1,48,85,10,0,1,3,12,48,540.79363666
201600018567,2,48,85,10,0,1,3,12,48,540.79363666
201600018567,3,48,85,10,0,1,3,12,48,540.79363666
201600018569,1,48,85,7,0,1,3,12,48,341.53118408
201600018569,2,48,85,7,0,1,3,12,48,341.53118408
201600018572,1,48,91,4,0,1,3,12,48,20.890223637
201600018572,2,48,91,4,0,1,3,12,48,20.890223637
201600018572,3,48,91,4,0,1,3,12,48,20.890223637
201600018576,1,48,91,10,0,1,3,12,48,540.79363666
201600018576,2,48,91,10,0,1,3,12,48,540.79363666
201600018582,1,48,91,5,0,1,3,12,48,31.455210339
201600018587,1,48,85,5,0,1,3,12,48,31.455210339
201600018592,1,48,91,8,1,1,3,12,48,326.43196105
201600018592,2,48,91,8,0,1,3,12,48,326.43196105
201600018605,1,48,85,5,0,1,3,12,48,27.373814448
201600018605,2,48,85,5,0,1,3,12,48,27.373814448
201600018610,1,48,91,9,0,1,3,12,48,427.41720998
201600018610,2,48,91,9,0,1,3,12,48,427.41720998
201600018619,1,48,85,5,0,1,3,12,48,31.455210339
201600018619,2,48,85,5,0,1,3,12,48,31.455210339
201600018620,1,48,91,10,0,1,3,12,48,540.79363666
201600018620,2,48,91,10,0,1,3,12,48,540.79363666
201600018625,1,70,46,7,10,2,3,16,70,129.82708256
201600018625,2,70,46,7,0,2,3,16,70,129.82708256
201600018628,1,70,46,10,0,2,3,16,70,215.218122
201600018632,1,70,46,5,99,2,3,16,70,29.895221382
201600018632,2,70,46,5,0,2,3,16,70,29.895221382
201600018633,1,70,46,9,0,2,3,16,70,146.52410486
201600018633,2,70,46,9,0,2,3,16,70,146.52410486
201600018637,1,70,46,9,98,2,3,16,70,146.52410486
201600018637,2,70,46,9,0,2,3,16,70,146.52410486
201600018649,1,70,137,10,0,2,3,16,70,215.218122
201600018649,2,70,137,10,0,2,3,16,70,215.218122
201600018650,1,70,137,9,0,2,3,16,70,146.52410486
201600018650,2,70,137,9,0,2,3,16,70,146.52410486
201600018655,1,70,137,6,99,2,3,16,70,51.573654892
201600018655,2,70,137,6,0,2,3,16,70,51.573654892
201600018661,1,70,137,8,0,2,3,16,70,130.17618946
201600018661,2,70,137,8,0,2,3,16,70,130.17618946
201600018661,3,70,137,8,0,2,3,16,70,130.17618946
201600018662,1,70,137,10,0,2,3,16,70,215.218122
201600018662,2,70,137,10,0,2,3,16,70,215.218122
201600018671,1,70,138,9,0,2,3,16,70,146.52410486
201600018671,2,70,138,9,0,2,3,16,70,146.52410486
201600018678,1,70,138,6,0,2,3,16,70,51.573654892
201600018678,2,70,138,6,0,2,3,16,70,51.573654892
201600018682,1,70,138,9,98,2,3,16,70,146.52410486
201600018682,2,70,138,9,0,2,3,16,70,146.52410486
201600018695,1,70,138,10,99,2,3,16,70,215.218122
201600018696,1,70,138,5,0,2,3,16,70,29.895221382
201600018696,2,70,138,5,0,2,3,16,70,29.895221382
201600018697,1,70,138,9,0,2,3,16,70,146.52410486
201600018697,2,70,138,9,0,2,3,16,70,146.52410486
201600018699,1,70,138,8,0,2,3,16,70,130.17618946
201600018702,1,70,138,2,0,2,3,16,70,28.248233112
201600018705,1,70,138,9,98,2,3,16,70,146.52410486
201600018708,1,70,138,10,0,2,3,16,70,215.218122
201600018708,2,70,138,10,0,2,3,16,70,215.218122
201600018709,1,70,138,5,99,2,3,16,70,33.556555226
201600018709,2,70,138,5,0,2,3,16,70,33.556555226
201600018709,3,70,138,5,0,2,3,16,70,33.556555226
201600018718,1,70,138,9,0,2,3,16,70,146.52410486
201600018718,2,70,138,9,0,2,3,16,70,146.52410486
201600018726,1,70,138,10,0,2,3,16,70,215.218122
201600018726,2,70,138,10,0,2,3,16,70,215.218122
201600018736,1,70,138,9,0,2,3,16,70,146.52410486
201600018736,2,70,138,9,0,2,3,16,70,146.52410486
201600018749,1,46,362,2,0,1,4,22,46,29.078645582
201600018834,1,65,2851,10,99,1,3,13,65,268.97048064
201600018835,1,65,2851,9,0,1,3,13,65,181.67007486
201600018835,2,65,2851,9,0,1,3,13,65,181.67007486
201600018869,1,48,85,9,0,1,3,12,48,427.41720998
201600018870,1,48,91,10,0,1,3,12,48,540.79363666
201600018876,1,70,46,8,0,2,3,16,70,130.17618946
201600018876,2,70,46,8,0,2,3,16,70,130.17618946
201600018885,1,70,46,9,0,2,3,16,70,146.52410486
201600018897,1,70,136,10,0,2,3,16,70,215.218122
201600018897,2,70,136,10,0,2,3,16,70,215.218122
201600018902,1,70,138,2,0,2,3,16,70,28.248233112
201600018904,1,70,136,9,0,2,3,16,70,146.52410486
201600018904,2,70,136,9,0,2,3,16,70,146.52410486
201600018905,1,70,138,10,0,2,3,16,70,215.218122
201600018905,2,70,138,10,0,2,3,16,70,215.218122
201600018906,1,70,46,10,99,2,3,16,70,215.218122
201600018910,1,65,2851,6,98,1,3,13,65,54.086402528
201600018910,2,65,2851,6,0,1,3,13,65,54.086402528
201600018920,1,65,2851,3,12,1,3,13,65,26.737756318
201600018920,2,65,2851,3,12,1,3,13,65,26.737756318
201600018979,1,37,3200,10,0,2,4,24,37,322.7347052
201600018979,2,37,3200,10,0,2,4,24,37,322.7347052
201600018990,1,37,3159,10,0,2,4,24,37,322.73470521
201600018995,1,37,3201,7,0,2,4,24,37,206.3655652
201600019016,1,37,3200,9,0,2,4,24,37,241.38250192
201600019035,1,37,3200,10,0,2,4,24,37,322.7347052
201600019035,2,37,3200,10,0,2,4,24,37,322.7347052
201600019049,1,65,2851,4,0,1,3,13,65,14.873035746
201600019049,3,65,2851,4,12,1,3,13,65,14.873035746
201600019049,4,65,2851,4,12,1,3,13,65,14.873035746
201600019059,1,37,3201,10,0,2,4,24,37,322.7347052
201600019070,1,46,362,9,0,1,4,22,46,190.36350382
201600019070,2,46,362,9,0,1,4,22,46,190.36350382
201600019075,1,46,362,10,0,1,4,22,46,292.62224233
201600019075,2,46,362,10,0,1,4,22,46,292.62224233
201600019107,1,37,3202,8,0,2,4,24,37,177.64162702
201600019107,2,37,3202,8,0,2,4,24,37,177.64162702
