YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1986,1,10001,1,2,2,2,1,1,3,4,2,3,1982,2,2
1986,1,10002,1,2,2,1,2,2,3,4,1,3,1973,2,2
1986,2,10002,2,2,2,2,1,1,3,4,2,3,1983,2,2
1986,1,10003,1,2,2,2,2,2,3,4,2,3,1961,2,2
1986,1,10004,1,2,2,2,1,1,3,4,2,3,1978,2,2
1986,2,10004,1,2,2,1,1,1,3,4,1,3,1964,2,2
1986,1,10005,1,6,6,1,2,2,3,4,2,3,1976,2,2
1986,1,10006,2,2,2,2,1,1,3,4,2,3,1971,2,2
1986,1,10007,1,2,2,1,2,2,3,4,1,3,1977,2,2
1986,1,10008,2,2,2,2,1,1,3,4,1,3,1984,2,2
1986,2,10008,1,2,2,2,1,1,3,4,2,3,1968,2,2
1986,1,10009,1,1,1,1,1,1,3,4,2,3,1982,2,2
1986,1,10010,1,2,2,2,1,1,3,4,2,3,1985,2,2
1986,1,10012,1,3,3,2,1,1,3,4,1,3,1977,2,2
1986,1,10013,1,2,2,1,1,1,3,4,1,3,1976,2,2
1986,1,10014,1,5,5,2,2,2,3,4,2,3,1976,2,2
1986,2,10014,1,2,2,2,1,1,3,4,2,3,1985,2,2
1986,1,10015,1,2,2,2,1,1,3,4,2,3,1978,2,2
1986,1,10016,1,2,2,2,1,1,3,4,2,3,1985,2,2
1986,2,10016,1,2,2,2,1,1,3,4,2,3,1984,2,2
1986,1,10018,2,2,2,2,1,1,3,4,2,3,1982,2,2
1986,2,10018,2,2,2,2,1,1,3,4,1,3,1985,2,2
1986,1,10019,2,2,2,2,1,1,3,4,2,3,1966,2,2
1986,1,10020,1,3,3,2,1,1,3,4,2,3,1979,2,2
1986,1,10021,1,2,2,2,1,1,3,4,2,3,1980,2,2
1986,1,10022,2,2,2,2,1,1,3,4,2,3,1970,2,2
1986,1,10023,4,2,2,2,1,1,3,4,2,3,1979,2,2
1986,2,10023,2,2,2,2,1,1,3,4,2,3,1984,2,2
1986,1,10024,1,3,3,2,2,2,3,4,2,3,1975,2,2
1986,2,10024,1,2,2,2,2,2,3,4,1,3,1973,2,2
1986,1,10025,2,1,1,1,1,1,3,4,1,3,1985,2,2
1986,1,10026,1,2,2,2,1,1,3,4,2,3,1979,2,2
1986,1,10027,3,2,2,2,1,1,3,4,2,3,1978,2,2
1986,2,10027,2,2,2,2,1,1,3,4,1,3,1986,2,2
1986,1,10028,1,2,2,1,1,1,3,4,1,3,1982,2,2
1986,1,10029,1,4,4,2,1,1,3,4,1,3,1985,2,2
1986,1,10030,1,2,2,2,1,1,3,4,2,3,1975,2,2
1986,2,10030,1,4,4,2,3,3,3,4,2,3,1971,2,2
1986,1,10031,1,3,3,2,2,2,3,4,1,3,1972,2,2
1986,1,10032,1,2,2,2,2,2,3,4,2,3,1983,2,2
1986,2,10032,1,2,2,2,1,1,3,4,2,3,1985,2,2
1986,1,10033,1,2,2,1,1,1,3,4,1,3,1973,2,2
1986,1,10034,1,2,2,2,1,1,3,4,1,3,1984,2,2
1986,1,10035,1,5,5,2,1,1,3,4,2,3,1980,2,2
1986,1,10036,1,1,1,1,1,1,3,4,1,3,1972,2,2
1986,1,10037,1,3,3,2,2,2,3,4,2,3,1977,2,2
1986,1,10038,3,6,6,1,1,1,3,4,2,3,1977,2,2
1986,1,10039,6,2,2,2,1,1,3,4,2,3,1985,2,2
1986,1,10040,1,2,2,2,1,1,3,4,2,3,1976,2,2
1986,1,10041,1,7,7,1,1,1,3,4,2,3,1983,2,2
1986,1,10042,1,2,2,2,2,2,3,4,2,3,1982,2,2
1986,1,10043,3,2,2,2,2,2,3,4,2,3,1974,2,2
1986,2,10043,6,2,2,2,1,1,3,4,2,3,1972,2,2
1986,1,10044,2,2,2,1,1,1,3,4,2,3,1983,2,2
1986,1,10045,1,2,2,2,2,2,3,4,2,3,1985,2,2
1986,2,10045,6,4,4,2,1,1,3,4,2,3,1981,2,2
1986,1,10046,2,2,5,2,1,1,3,4,2,3,1985,2,2
1986,2,10046,1,2,2,2,1,1,3,4,2,3,1977,2,2
1986,3,10046,1,2,2,2,1,1,3,4,2,3,1982,2,2
1986,1,10047,1,2,2,1,2,2,3,4,2,3,1965,2,2
1986,1,10048,6,2,2,2,1,1,3,4,2,3,1974,2,2
1986,2,10048,2,5,5,2,1,1,3,4,2,3,1966,2,2
1986,1,10049,1,2,2,2,1,1,3,4,2,3,1979,2,2
1986,1,10050,1,2,2,2,1,1,3,4,2,3,1983,2,2
1986,1,10051,1,2,2,2,1,1,3,4,2,3,1979,2,2
1986,1,10052,1,6,6,2,1,1,3,4,2,3,1977,2,1
1986,1,10053,9,7,7,2,3,3,3,4,2,3,9999,2,2
1986,1,10054,1,2,2,2,1,1,3,4,2,3,1981,2,2
1986,1,10055,2,2,2,1,1,1,3,4,2,3,1981,2,1
1986,1,10056,6,2,2,1,1,1,3,4,2,3,1979,2,2
1986,2,10056,2,2,2,2,1,1,3,4,2,3,1980,2,2
1986,1,10057,1,2,2,1,1,1,3,4,2,3,1979,2,2
1986,1,10058,1,2,2,2,1,1,3,4,2,3,1978,2,2
1986,1,10059,1,2,2,1,1,1,3,4,1,3,1985,2,2
1986,1,10060,7,2,2,2,4,1,3,3,2,3,1980,2,1
1986,1,10061,1,2,2,2,2,2,3,4,2,3,1986,2,2
1986,1,10062,1,2,2,1,1,1,3,4,2,3,1985,2,2
1986,1,10063,2,4,4,1,1,1,3,4,2,3,1985,2,2
1986,1,10064,1,2,2,1,1,1,3,4,1,3,1977,2,2
1986,1,10065,1,2,2,2,1,1,3,4,2,3,1973,2,2
1986,1,10066,1,2,2,1,1,1,3,4,2,3,1971,2,2
1986,2,10066,2,2,7,2,1,1,3,4,2,3,1985,2,2
1986,1,10067,1,2,2,2,1,1,3,4,2,3,1983,2,2
1986,2,10067,6,2,2,2,1,1,3,4,2,3,1983,2,2
1986,1,10068,1,1,1,1,1,1,3,4,1,3,1965,2,2
1986,1,10069,4,2,2,2,1,1,3,4,1,3,1984,2,2
1986,1,10070,7,4,4,2,4,1,3,3,2,3,1979,2,2
1986,1,10071,1,2,2,2,1,1,3,4,2,3,1986,2,2
1986,2,10071,1,3,3,2,2,2,3,4,1,3,1972,2,2
1986,1,10072,2,2,2,2,1,1,3,4,2,3,1973,2,2
1986,2,10072,1,5,5,2,1,1,3,4,2,3,1984,2,2
1986,1,10073,6,4,4,2,1,1,3,4,2,3,1985,2,2
1986,2,10073,1,2,2,2,1,1,3,4,2,3,1985,2,2
1986,1,10074,1,2,2,2,1,1,3,4,2,3,1982,2,2
1986,2,10074,1,2,2,2,1,1,3,4,2,3,1977,2,2
1986,1,10075,3,2,2,2,1,1,3,4,2,3,1977,2,2
1986,1,10076,3,6,7,1,1,1,3,4,2,3,1977,2,2
1986,1,10077,1,2,2,2,1,1,3,4,2,3,1976,2,2
1986,2,10077,6,2,2,2,1,1,3,4,2,3,1979,2,2
1986,1,10078,1,2,2,2,1,1,3,4,2,3,1979,2,2
1986,1,10079,1,6,7,1,1,1,3,4,1,3,1978,2,2
1986,1,10080,2,1,1,1,1,1,3,4,1,3,1985,2,2
1986,1,10081,1,2,2,2,1,1,3,4,2,3,1982,2,1
1986,1,10082,1,3,3,2,1,1,3,4,1,3,1985,2,2
