YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1985,1,10002,6,2,2,1,1,1,3,4,2,3,1978,2,2
1985,1,10003,1,2,2,1,1,1,3,4,1,3,1979,2,1
1985,1,10004,1,5,5,2,1,1,3,4,1,3,1980,2,1
1985,1,10005,1,3,3,2,1,1,3,4,1,3,1973,2,2
1985,1,10006,1,2,2,1,1,1,3,4,1,3,1979,2,2
1985,1,10007,1,2,2,1,1,1,3,4,1,3,1973,2,2
1985,1,10008,2,1,1,1,1,1,3,4,1,3,1985,2,2
1985,1,10009,1,5,5,2,1,1,3,4,2,3,1984,2,2
1985,2,10009,2,2,2,2,1,1,3,4,2,3,1963,2,2
1985,1,10010,1,2,2,2,1,1,3,4,1,3,1970,2,2
1985,1,10011,1,1,1,1,1,1,3,4,2,3,1981,1,2
1985,1,10012,1,2,2,1,1,1,3,4,1,3,1970,2,2
1985,1,10013,1,2,2,2,1,1,3,4,2,3,1983,1,2
1985,1,10014,1,2,2,2,1,1,3,4,2,3,1971,2,2
1985,1,10015,6,2,7,1,2,2,3,4,2,3,1980,2,2
1985,2,10015,1,6,6,2,1,1,3,4,2,3,1982,2,2
1985,1,10016,6,2,2,1,1,1,3,4,2,3,1973,2,2
1985,2,10016,1,2,2,2,1,1,3,4,1,3,1984,2,2
1985,1,10017,2,2,7,1,1,1,3,4,1,3,1982,2,2
1985,1,10018,1,2,2,2,2,2,3,4,1,3,1977,2,2
1985,1,10019,6,2,7,2,1,1,3,4,2,3,1983,2,2
1985,1,10020,1,2,2,2,1,1,3,4,2,3,1985,2,2
1985,2,10020,1,2,2,2,1,1,3,4,2,3,1983,2,2
1985,1,10021,1,6,4,2,1,1,3,4,1,3,1983,2,2
1985,1,10022,1,6,6,2,1,1,3,4,2,3,1983,2,2
1985,1,10023,1,2,2,2,1,1,3,4,1,3,1963,2,2
1985,1,10024,6,2,2,2,1,1,3,4,2,3,1980,2,2
