YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1988,1,10001,6,1,1,1,1,1,3,4,2,3,1982,2,2
1988,1,10002,1,3,3,2,1,1,3,4,2,3,1982,2,2
1988,2,10002,2,2,2,2,2,2,3,4,2,3,1980,2,2
1988,1,10003,1,2,2,1,1,1,3,4,1,3,1978,2,2
1988,1,10004,6,2,2,2,1,1,3,4,2,3,1984,2,2
1988,1,10005,1,2,2,2,1,1,3,4,2,3,1977,2,2
1988,1,10006,3,2,2,2,1,1,3,4,2,3,1979,2,2
1988,2,10006,1,4,4,2,1,1,3,4,1,3,1965,2,2
1988,1,10007,1,5,5,2,1,1,3,4,1,3,1984,2,2
1988,2,10007,2,2,2,2,1,1,3,4,2,3,1973,2,2
1988,3,10007,4,2,2,2,1,1,3,4,2,3,1977,2,2
1988,1,10008,1,2,2,2,1,1,3,4,2,3,1983,2,2
1988,1,10009,1,3,3,2,1,1,3,4,2,3,1982,2,2
1988,2,10009,1,2,2,2,2,2,3,4,2,3,1978,2,2
1988,1,10010,6,2,2,2,1,1,3,4,1,3,1977,2,2
1988,1,10011,1,2,3,2,1,1,3,4,2,3,1984,2,2
1988,2,10011,1,2,2,2,1,1,3,4,2,3,1986,2,2
1988,1,10012,2,1,1,1,2,2,3,4,2,3,1973,2,2
1988,1,10013,2,2,2,1,1,1,3,4,1,3,1985,2,2
1988,1,10014,7,2,2,2,4,2,3,2,2,3,1983,2,2
1988,1,10015,2,2,2,2,2,2,3,4,1,3,1982,2,2
1988,2,10015,1,5,5,2,1,1,3,4,2,3,1979,2,2
1988,3,10015,1,2,2,2,1,1,3,4,2,3,1972,2,2
1988,4,10015,1,4,4,2,1,1,3,4,2,3,1984,2,2
1988,1,10016,1,2,2,2,1,1,3,4,1,3,1981,2,2
1988,1,10017,1,2,2,2,1,1,3,4,2,3,1972,2,2
1988,1,10018,1,2,2,2,1,1,3,4,1,3,1973,2,2
1988,2,10018,6,4,4,2,1,1,3,4,2,3,1981,2,2
1988,1,10019,1,2,2,2,2,2,3,4,2,3,1967,2,2
1988,2,10019,1,2,2,2,1,1,3,4,2,3,1985,2,2
1988,1,10020,2,2,2,2,1,1,3,4,2,3,1984,2,2
1988,2,10020,1,5,5,2,1,1,3,4,2,3,1985,2,2
1988,1,10022,2,3,3,1,1,1,3,4,1,3,1986,2,2
1988,1,10023,2,2,2,2,1,1,3,4,2,3,1987,2,2
1988,2,10023,1,4,4,2,1,1,3,4,2,3,1973,2,2
1988,1,10024,1,2,2,2,3,3,3,4,1,3,1980,2,2
1988,2,10024,6,2,2,2,1,1,3,4,2,3,1985,2,2
1988,1,10025,1,5,5,1,1,1,3,4,1,3,1981,2,2
1988,1,10026,2,2,2,2,1,1,3,4,2,3,1978,2,2
1988,2,10026,1,2,2,2,2,2,3,4,2,3,1981,2,2
1988,1,10027,1,2,2,1,1,1,3,4,1,3,1975,2,2
1988,1,10028,1,2,2,2,3,3,3,4,1,3,9999,2,2
