YEAR,STATE,COUNTY,FATALS,ST_CASE,A_CRAINJ,A_REGION,A_RU,A_INTER,A_RELRD,A_INTSEC,A_ROADFC,A_JUNC,A_MANCOL,A_RD,A_TOD,A_DOW,A_HR,A_CT,A_LT,A_MC,A_SPCRA,A_PED,A_PEDAL,A_ROLL,A_POLPUR,A_POSBAC,A_D15_19,A_D16_19,A_D15_20,A_D16_20,A_D65PLS,A_D21_24,A_D16_24,A_DIST,A_DROWSY
1988,1,73,1,10123,1,4,2,1,1,2,1,3,1,3,1,1,2,2,2,2,2,1,2,2,2,3,2,2,1,1,2,2,1,2,2
1988,1,31,1,10124,1,4,1,2,1,2,3,2,3,3,1,1,2,2,1,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2
1988,1,53,1,10125,1,4,1,1,1,2,1,2,1,3,2,2,2,1,2,2,1,2,2,1,2,3,1,1,1,1,2,2,1,2,2
1988,1,79,1,10126,1,4,1,2,1,2,3,2,2,3,1,1,2,2,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2
1988,1,27,1,10127,1,4,1,2,4,2,4,2,1,3,2,1,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,1,2,1
1988,1,13,1,10128,1,4,1,2,4,2,5,2,1,3,2,1,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1
1988,1,111,1,10129,1,4,2,2,4,2,4,2,1,3,2,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,1,1,2,2
1988,1,49,1,10130,1,4,2,2,4,2,4,2,1,3,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2
1988,1,89,1,10131,1,4,1,2,1,2,3,2,4,3,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,1,1,2,2
1988,1,95,3,10132,1,4,1,2,1,2,3,2,4,3,1,1,2,2,2,2,2,2,2,1,2,3,2,2,2,2,2,2,2,2,2
1988,1,41,1,10133,1,4,1,2,1,2,5,2,1,3,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2
1988,1,97,1,10134,1,4,2,2,1,2,5,2,1,3,2,1,2,1,2,2,2,1,2,2,2,3,2,2,2,2,2,1,1,2,2
1988,1,1,1,10135,1,4,1,2,1,2,5,2,1,3,2,2,2,1,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,2,2
1988,1,111,1,10136,1,4,1,2,1,2,4,2,3,3,2,1,2,2,2,2,1,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1988,1,51,1,10137,1,4,1,2,1,1,5,1,4,3,1,1,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2
1988,1,3,1,10138,1,4,1,1,1,2,1,2,1,3,1,2,2,1,2,2,1,2,2,1,2,3,1,1,1,1,2,2,1,2,2
1988,1,79,2,10139,1,4,1,2,2,2,3,2,3,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2
1988,1,43,1,10140,1,4,1,2,1,2,4,2,3,3,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,2,2,1,2,2
1988,1,73,1,10141,1,4,2,2,4,2,5,2,1,3,2,2,2,1,2,2,2,2,2,1,2,1,1,1,1,1,2,2,1,2,2
1988,1,113,1,10142,1,4,2,2,1,1,4,1,4,3,1,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1988,1,119,1,10143,1,4,1,2,4,2,3,2,1,3,1,2,2,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1
