YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1984,1,10001,1,5,5,2,1,1,3,4,1,3,1981,2,2
1984,1,10002,1,2,2,2,2,2,3,4,2,3,1981,2,2
1984,1,10003,2,2,2,2,1,1,3,4,2,3,1975,2,2
1984,2,10003,1,5,5,2,1,1,3,4,2,3,1979,2,2
1984,1,10004,1,2,2,2,1,1,3,4,2,3,1972,2,2
1984,2,10004,6,2,2,2,1,1,3,4,2,3,1983,2,2
1984,3,10004,6,2,2,2,1,1,3,4,2,3,1977,2,2
1984,1,10005,1,2,2,2,1,1,3,4,2,3,1973,2,2
1984,1,10006,1,2,2,2,1,1,3,4,2,3,1983,2,2
1984,2,10006,1,2,2,2,1,1,3,4,1,3,1971,2,2
1984,1,10007,1,2,2,2,1,1,3,4,1,3,1977,2,1
1984,1,10008,9,6,6,1,2,2,3,4,2,3,1973,1,2
1984,1,10009,1,2,2,1,1,1,3,4,1,3,1975,2,2
1984,1,10010,1,2,2,2,2,2,3,4,1,3,1973,2,2
1984,2,10010,1,4,4,1,1,1,3,4,2,3,1977,2,2
1984,3,10010,1,2,2,2,1,1,3,4,2,3,1973,2,2
1984,1,10011,1,2,2,2,1,1,3,4,2,3,1965,2,2
1984,2,10011,6,2,2,1,1,1,3,4,2,3,1981,2,2
1984,1,10012,2,3,2,2,1,1,3,4,2,3,1965,2,2
1984,2,10012,1,5,5,2,1,1,3,4,2,3,1978,2,2
1984,3,10012,1,2,2,2,1,1,3,4,2,3,1979,2,2
1984,1,10013,2,2,2,2,1,1,3,4,2,3,1982,2,2
1984,2,10013,7,2,2,2,4,1,3,3,1,3,1981,2,2
1984,1,10014,1,5,5,2,1,1,3,4,1,3,1978,2,2
1984,1,10015,2,3,3,2,1,1,3,4,2,3,1984,2,2
1984,2,10015,4,2,2,2,1,1,3,4,2,3,1967,2,2
1984,1,10016,1,4,4,2,1,1,3,4,1,3,1979,2,2
1984,1,10017,2,2,2,2,1,1,3,4,2,3,1983,2,2
1984,2,10017,1,2,2,2,1,1,3,4,2,3,1977,2,2
1984,1,10018,1,2,2,2,1,1,3,4,1,3,1970,2,2
1984,2,10018,1,2,2,2,1,1,3,4,2,3,1980,2,2
1984,3,10018,1,2,2,2,1,1,3,4,2,3,1983,2,2
1984,1,10019,1,1,1,1,1,1,3,4,1,3,1982,2,2
1984,1,10020,1,3,3,2,2,2,3,4,1,3,1971,2,2
1984,2,10020,1,2,2,2,1,1,3,4,2,3,1982,2,2
1984,1,10021,1,2,2,1,1,1,3,4,1,3,1975,2,2
1984,2,10021,1,5,5,2,1,1,3,4,1,3,1975,2,2
1984,1,10022,1,2,2,2,1,1,3,4,2,3,1972,2,2
1984,2,10022,1,2,2,2,1,1,3,4,2,3,1973,2,2
1984,1,10023,1,2,2,2,1,1,3,4,1,3,1980,2,1
1984,1,10024,2,2,2,2,1,1,3,4,2,3,1980,2,2
1984,2,10024,1,2,2,2,1,1,3,4,2,3,1979,2,2
1984,1,10025,1,2,2,2,2,2,3,4,2,3,1974,2,2
1984,1,10026,1,2,2,2,1,1,3,4,2,3,1982,2,2
1984,1,10027,1,2,2,2,1,1,3,4,2,3,1980,2,2
1984,2,10027,1,2,2,2,1,1,3,4,2,3,1974,2,2
1984,1,10028,6,2,2,1,1,1,3,4,2,3,1980,2,2
1984,2,10028,2,4,4,2,1,1,3,4,2,3,1980,2,2
1984,1,10029,1,1,1,1,1,1,3,4,2,3,1980,2,2
1984,1,10030,1,2,2,2,1,1,3,4,2,3,1978,2,2
1984,1,10031,2,2,2,2,1,1,3,4,2,3,1983,2,2
1984,1,10032,1,5,5,2,1,1,3,4,2,3,1981,2,2
1984,2,10032,1,5,5,2,1,1,3,4,2,3,1980,2,2
1984,3,10032,1,2,2,2,1,1,3,4,1,3,1972,2,2
1984,1,10033,1,2,2,2,1,1,3,4,2,3,1980,2,2
1984,1,10034,1,2,2,1,2,2,3,4,1,3,1973,2,2
1984,1,10035,2,2,2,2,1,1,3,4,2,3,1974,2,2
1984,2,10035,6,2,2,2,1,1,3,4,2,3,1978,2,2
1984,1,10036,1,5,5,2,2,2,3,4,2,3,1981,2,2
1984,2,10036,2,2,2,2,1,1,3,4,2,3,1983,2,2
1984,3,10036,1,2,2,2,2,2,3,4,2,3,1977,2,2
1984,4,10036,1,2,2,2,1,1,3,4,2,3,1976,2,2
1984,1,10037,1,2,2,2,1,1,3,4,2,3,1974,2,2
1984,2,10037,2,2,2,2,1,1,3,4,2,3,1979,2,2
1984,1,10038,2,1,1,1,1,1,3,4,2,3,1978,2,2
1984,1,10039,2,1,1,1,1,1,3,4,1,3,1982,2,2
1984,1,10040,1,3,3,2,1,1,3,4,2,3,1976,2,2
1984,2,10040,6,2,2,2,1,1,3,4,2,3,1979,2,2
1984,1,10041,1,2,2,2,1,1,3,4,2,3,1975,2,2
1984,1,10042,1,2,2,1,1,1,3,4,1,3,1976,2,2
1984,1,10043,7,1,1,2,4,1,3,3,1,3,1977,2,2
1984,1,10044,6,2,2,2,1,1,3,4,2,3,1972,2,2
1984,1,10045,6,1,1,1,1,1,3,4,1,3,1973,2,2
1984,1,10046,6,1,1,1,1,1,3,4,2,3,1969,2,2
1984,1,10047,9,4,4,2,3,3,3,4,2,3,1973,2,2
1984,2,10047,1,2,2,2,1,1,3,4,2,3,1977,2,2
1984,1,10048,1,2,2,2,1,1,3,4,2,3,1980,2,2
1984,2,10048,6,2,2,2,1,1,3,4,2,3,1974,2,2
1984,1,10049,1,3,3,2,1,1,3,4,2,3,1981,2,2
1984,2,10049,2,2,2,2,1,1,3,4,2,3,1974,2,2
1984,1,10050,1,2,2,2,1,1,3,4,2,3,1974,2,2
1984,2,10050,1,3,3,2,1,1,3,4,2,3,1978,2,2
1984,1,10051,6,1,1,1,1,1,3,4,1,3,1973,2,2
1984,1,10052,2,2,2,1,1,1,3,4,2,3,1979,2,2
1984,1,10053,1,2,2,1,1,1,3,4,1,3,1973,2,2
1984,1,10054,2,2,2,2,1,1,3,4,2,3,1983,2,2
1984,2,10054,6,4,4,2,3,3,3,4,2,3,1980,2,2
1984,1,10055,1,2,2,1,1,1,3,4,1,3,1979,2,2
1984,1,10056,1,2,2,1,2,2,3,4,2,3,1975,2,2
1984,1,10057,1,2,2,2,1,1,3,4,2,3,1982,2,2
1984,1,10058,2,2,2,2,2,2,3,4,2,3,1975,2,2
1984,2,10058,1,2,2,2,2,2,3,4,1,3,1968,2,2
1984,1,10059,6,2,2,1,1,1,3,4,2,3,1981,2,2
1984,1,10060,1,2,2,1,1,1,3,4,2,3,1981,2,2
1984,2,10060,1,2,2,2,1,1,3,4,2,3,1977,2,2
1984,1,10061,6,4,4,2,1,1,3,4,2,3,1984,2,2
1984,2,10061,2,2,2,2,1,1,3,4,1,3,1970,2,2
1984,1,10062,2,2,2,2,1,1,3,4,2,3,1983,2,2
1984,1,10063,1,5,5,2,1,1,3,4,2,3,1976,2,2
1984,2,10063,1,2,2,2,1,1,3,4,2,3,1970,2,2
1984,1,10064,1,3,3,2,1,1,3,4,2,3,1977,2,2
1984,2,10064,6,2,2,2,1,1,3,4,2,3,1976,2,2
1984,1,10065,1,2,2,2,1,1,3,4,1,3,1976,2,2
1984,2,10065,1,2,2,2,1,1,3,4,2,3,1977,2,2
1984,1,10066,1,2,2,1,1,1,3,4,1,3,1981,2,2
1984,1,10067,1,2,2,2,1,1,3,4,2,3,1972,2,2
1984,2,10067,1,2,2,2,1,1,3,4,2,3,1970,2,2
1984,1,10068,6,1,1,1,1,1,3,4,1,3,1983,2,2
1984,1,10069,1,5,5,2,1,1,3,4,2,3,1984,2,2
1984,2,10069,6,2,2,2,1,1,3,4,2,3,1967,2,2
1984,1,10070,1,2,2,1,1,1,3,4,2,3,1979,2,2
1984,1,10071,1,2,2,2,1,1,3,4,2,3,1974,2,2
1984,1,10072,6,2,2,2,1,1,3,4,2,3,1973,2,2
1984,2,10072,1,3,3,2,1,1,3,4,2,3,1973,2,2
1984,1,10073,2,2,2,2,1,1,3,4,2,3,1960,2,2
1984,2,10073,1,4,2,2,3,3,3,4,2,3,1969,2,2
1984,1,10074,6,1,1,1,1,1,3,4,2,3,1978,2,1
1984,1,10075,1,1,1,1,2,2,3,4,1,3,1977,2,2
1984,1,10076,1,2,2,2,1,1,3,4,2,3,1980,2,2
1984,2,10076,1,5,5,2,2,2,3,4,2,3,1979,2,2
1984,1,10077,1,3,3,2,1,1,3,4,2,3,1973,2,2
1984,2,10077,7,2,2,2,4,1,3,3,2,3,1973,2,2
1984,1,10078,1,2,2,2,1,1,3,4,2,3,1976,2,2
1984,2,10078,7,2,2,2,4,1,3,3,1,3,1977,2,2
1984,1,10079,1,6,6,1,1,1,3,4,1,3,1968,2,2
1984,1,10080,1,2,2,2,1,1,3,4,1,3,1975,2,2
1984,2,10080,1,2,2,2,1,1,3,4,2,3,1980,2,2
1984,1,10081,6,3,3,2,1,1,3,4,2,3,1981,2,2
1984,2,10081,7,2,2,2,4,1,3,3,2,3,1980,2,2
1984,1,10082,3,2,2,2,2,2,3,4,2,3,1983,2,2
1984,2,10082,1,2,2,2,1,1,3,4,2,3,1977,2,2
1984,1,10083,2,2,2,2,1,1,3,4,1,3,1977,2,2
1984,2,10083,6,2,2,2,1,1,3,4,2,3,1975,2,2
1984,1,10084,1,2,2,2,1,1,3,4,2,3,1974,2,2
1984,2,10084,1,2,2,2,1,1,3,4,2,3,1978,2,2
1984,1,10085,4,2,2,2,1,1,3,4,2,3,1979,2,2
1984,1,10086,2,2,2,2,1,1,3,4,1,3,1978,2,2
1984,2,10086,1,5,5,2,2,2,3,4,2,3,1967,2,2
1984,1,10087,4,2,2,2,1,1,3,4,2,3,1968,2,2
1984,2,10087,1,2,2,2,1,1,3,4,2,3,1978,2,2
1984,1,10088,1,5,5,2,1,1,3,4,2,3,1983,2,2
1984,2,10088,2,2,2,2,1,1,3,4,2,3,1977,2,2
1984,1,10089,1,2,2,2,1,1,3,4,1,3,1976,2,2
1984,1,10090,2,2,2,2,1,1,3,4,2,3,1981,2,2
1984,2,10090,1,4,4,2,1,1,3,4,2,3,1966,2,2
1984,1,10091,1,2,2,2,1,1,3,4,1,3,1975,2,2
1984,1,10092,1,2,2,2,2,2,3,4,2,3,1977,2,2
1984,2,10092,4,2,2,2,1,1,3,4,2,3,1972,2,2
1984,1,10093,1,2,2,2,1,1,3,4,1,3,1978,2,2
1984,1,10094,6,3,3,2,1,1,3,4,2,3,1980,2,2
1984,2,10094,1,5,5,2,1,1,3,4,2,3,1974,2,2
1984,1,10095,2,3,3,2,1,1,3,4,2,3,1974,2,2
1984,2,10095,1,2,2,2,1,1,3,4,2,3,1982,2,2
1984,1,10096,1,1,1,1,1,1,3,4,2,3,1977,2,2
1984,1,10097,1,2,2,2,1,1,3,4,2,3,1979,2,1
1984,1,10098,2,2,2,1,1,1,3,4,2,3,1978,2,2
1984,1,10099,6,5,5,2,1,1,3,4,2,3,1980,2,2
1984,2,10099,2,3,3,2,1,1,3,4,2,3,1983,2,2
1984,1,10100,3,5,5,1,1,1,3,4,2,3,1983,2,2
1984,2,10100,6,2,2,2,1,1,3,4,2,3,1971,2,2
1984,1,10101,6,3,3,2,1,1,3,4,2,3,1977,2,2
1984,2,10101,2,2,2,2,1,1,3,4,2,3,1978,2,2
1984,1,10102,1,3,2,2,1,1,3,4,1,3,1973,2,2
1984,1,10103,4,2,2,2,1,1,3,4,1,3,1981,2,2
1984,2,10103,1,4,2,2,1,1,3,4,2,3,1965,2,2
1984,3,10103,6,2,5,2,1,1,3,4,1,3,1980,2,2
1984,1,10104,2,2,2,2,2,2,3,4,1,3,1976,2,2
1984,2,10104,1,2,5,2,1,1,3,4,2,3,1975,2,2
1984,1,10105,3,2,2,2,1,1,3,4,2,3,1976,2,2
1984,1,10106,1,3,3,2,1,1,3,4,2,3,1966,2,2
1984,2,10106,6,5,5,2,1,1,3,4,2,3,1978,2,2
1984,1,10107,1,2,2,2,1,1,3,4,2,3,1973,2,2
1984,1,10108,2,3,3,2,1,1,3,4,2,3,1979,2,2
1984,2,10108,6,2,2,2,1,1,3,4,2,3,1979,2,2
1984,1,10109,6,3,3,2,1,1,3,4,2,3,1982,2,2
1984,2,10109,2,2,2,2,1,1,3,4,2,3,1971,2,2
1984,1,10110,1,2,2,2,1,1,3,4,1,3,1975,2,2
1984,1,10111,6,2,2,2,1,1,3,4,1,3,1979,2,2
1984,2,10111,1,3,3,2,1,1,3,4,2,3,1979,2,2
1984,1,10112,2,1,1,1,1,1,3,4,1,3,1977,2,2
1984,1,10113,1,2,2,2,1,1,3,4,2,3,1976,2,2
1984,1,10114,6,2,2,2,1,1,3,4,2,3,1974,2,2
1984,2,10114,1,2,2,2,1,1,3,4,2,3,1983,2,2
1984,1,10115,2,2,2,2,1,1,3,4,1,3,1977,2,2
1984,1,10116,1,5,5,2,1,1,3,4,2,3,1972,2,2
1984,2,10116,1,5,5,1,1,1,3,4,2,3,1979,2,2
1984,1,10117,1,2,2,1,2,2,3,4,1,3,1979,2,2
1984,1,10118,1,2,2,2,1,1,3,4,2,3,1984,2,2
1984,2,10118,1,2,2,2,1,1,3,4,1,3,1984,2,2
1984,1,10119,6,2,2,2,2,2,3,4,1,3,1981,2,1
1984,1,10120,1,6,6,1,1,1,3,4,2,3,1976,2,2
1984,1,10121,1,2,2,1,2,2,3,4,1,3,1976,2,2
1984,1,10122,1,2,2,2,1,1,3,4,2,3,1975,2,2
1984,1,10123,1,2,2,2,2,2,3,4,2,3,1970,2,2
1984,2,10123,1,2,2,2,1,1,3,4,2,3,1977,2,2
1984,1,10124,1,2,2,2,1,1,3,4,2,3,1976,2,2
1984,1,10125,1,2,3,1,1,1,3,4,1,3,1982,2,2
1984,1,10126,1,5,5,2,1,1,3,4,1,3,1968,2,2
1984,1,10127,1,5,5,2,1,1,3,4,2,3,1976,2,2
1984,2,10127,1,2,2,2,1,1,3,4,2,3,1979,2,2
1984,1,10128,2,2,2,2,1,1,3,4,2,3,1982,2,2
1984,1,10130,1,2,2,2,1,1,3,4,2,3,1982,2,1
1984,1,10131,2,2,2,2,2,2,3,4,2,3,1970,2,2
1984,1,10132,1,2,2,2,1,1,3,4,2,3,1979,2,2
1984,2,10132,6,2,2,1,1,1,3,4,2,3,1976,2,2
1984,1,10133,2,2,2,2,2,2,3,4,1,3,1976,2,2
1984,2,10133,1,3,3,2,1,1,3,4,2,3,1980,2,2
1984,1,10134,1,2,2,2,1,1,3,4,2,3,1967,2,2
1984,2,10134,6,2,2,2,1,1,3,4,2,3,1977,2,2
1984,3,10134,6,2,2,2,1,1,3,4,2,3,1982,2,2
1984,1,10135,1,3,3,2,1,1,3,4,1,3,1971,2,2
1984,1,10136,1,2,7,2,1,1,3,4,2,3,1980,2,2
1984,2,10136,1,4,4,2,1,1,3,4,2,3,1984,2,2
1984,3,10136,1,2,2,2,1,1,3,4,1,3,1977,2,2
1984,4,10136,1,2,2,2,1,1,3,4,2,3,1980,2,2
1984,1,10138,9,7,7,2,3,3,3,4,2,3,9999,2,2
1984,1,10139,6,4,4,1,1,1,3,4,2,3,1983,2,1
1984,1,10140,7,7,7,2,4,1,3,3,1,3,1971,2,2
1984,1,10141,2,1,1,1,1,1,3,4,2,3,1982,2,2
1984,1,10142,1,2,2,2,2,2,3,4,1,3,1971,2,2
1984,1,10143,2,2,2,2,1,1,3,4,2,3,1975,2,2
1984,1,10144,2,2,2,2,1,1,3,4,2,3,1978,2,2
1984,1,10145,1,2,2,2,1,1,3,4,2,3,1984,2,2
1984,2,10145,1,2,2,2,1,1,3,4,2,3,1982,2,2
1984,1,10146,2,2,2,2,1,1,3,4,2,3,1977,2,2
1984,2,10146,1,2,2,2,1,1,3,4,1,3,1971,2,2
1984,1,10147,2,2,2,1,1,1,3,4,1,3,1980,2,2
1984,1,10148,1,2,2,1,1,1,3,4,1,3,1975,2,2
1984,1,10149,1,2,2,2,1,1,3,4,2,3,1982,2,2
