YEAR,VEH_NO,ST_CASE,A_BODY,A_IMP1,A_IMP2,A_VROLL,A_LIC_S,A_LIC_C,A_CDL_S,A_MC_L_S,A_SPVEH,A_SBUS,A_MOD_YR,A_DRDIS,A_DRDRO
1989,1,10001,3,1,1,1,1,1,3,4,2,3,1980,2,1
1989,1,10002,1,2,2,2,2,2,3,4,1,3,1975,2,2
1989,1,10003,1,3,3,2,1,1,3,4,2,3,1979,2,2
1989,2,10003,2,2,2,2,1,1,3,4,2,3,1988,2,2
1989,1,10004,2,2,2,1,1,1,3,4,2,3,1968,2,2
1989,1,10005,1,2,2,2,1,1,3,4,1,3,1987,2,2
1989,1,10006,1,2,2,2,1,1,3,4,2,3,1982,2,2
1989,2,10006,1,2,2,2,2,2,3,4,2,3,1976,2,2
1989,1,10007,1,1,1,1,1,1,3,4,1,3,1987,2,2
1989,1,10008,1,2,2,2,1,1,3,4,2,3,1984,2,2
1989,2,10008,1,2,2,2,1,1,3,4,2,3,1981,2,2
1989,1,10009,6,2,2,2,1,1,3,4,2,3,1979,2,2
1989,2,10009,1,3,3,2,1,1,3,4,2,3,1980,2,2
1989,1,10010,2,1,1,1,3,3,3,4,1,3,1987,2,2
1989,1,10011,2,2,2,1,1,1,3,4,1,3,1988,2,2
1989,1,10012,1,2,2,2,1,1,3,4,2,3,1983,2,2
1989,1,10013,1,1,1,1,1,1,3,4,1,3,1985,2,2
1989,1,10014,1,2,2,1,1,1,3,4,1,3,1987,2,2
1989,1,10015,1,2,2,2,2,2,3,4,1,3,1977,2,2
1989,1,10016,1,1,1,1,2,2,3,4,1,3,1967,2,2
1989,1,10017,1,1,1,1,1,1,3,4,1,3,1986,2,2
1989,1,10018,1,4,2,2,1,1,3,4,2,3,1983,2,2
1989,2,10018,1,2,2,2,1,1,3,4,1,3,1986,2,2
1989,3,10018,2,2,2,2,1,1,3,4,2,3,1983,2,2
1989,1,10019,6,2,2,2,1,1,3,4,2,3,1989,2,1
1989,1,10020,1,3,3,2,1,1,3,4,2,3,1985,2,2
1989,2,10020,1,2,2,2,1,1,3,4,2,3,1979,2,2
1989,1,10021,1,2,2,2,1,1,3,4,1,3,1973,2,2
1989,2,10021,1,2,2,2,1,1,3,4,2,3,1985,2,2
1989,3,10021,1,5,5,2,1,1,3,4,2,3,1979,2,2
1989,1,10022,2,2,2,2,1,1,3,4,2,3,1979,2,2
1989,1,10023,1,1,1,1,1,1,3,4,1,3,1981,2,2
1989,1,10024,1,1,1,1,1,1,3,4,2,3,1981,2,2
1989,1,10025,1,2,2,2,1,1,3,4,2,3,1987,2,2
1989,1,10026,1,2,2,2,2,2,3,4,1,3,1989,2,2
1989,1,10027,1,5,5,2,1,1,3,4,2,3,1978,2,2
1989,2,10027,1,2,2,2,1,1,3,4,2,3,1985,2,2
1989,1,10028,4,2,2,2,1,1,3,4,2,3,1987,2,2
1989,1,10029,1,1,1,1,1,1,3,4,2,3,1979,2,2
1989,1,10030,1,3,3,2,1,1,3,4,2,3,1981,2,2
1989,1,10031,1,4,4,1,1,1,3,4,2,3,1981,2,2
1989,1,10032,1,5,5,2,1,1,3,4,1,3,1987,2,2
1989,2,10032,1,2,2,2,1,1,3,4,2,3,1986,2,2
1989,1,10033,2,2,2,2,1,1,3,4,1,3,1987,2,1
1989,1,10034,2,2,2,2,1,1,3,4,1,3,1980,2,2
1989,2,10034,1,2,2,2,1,1,3,4,2,3,1988,2,2
1989,3,10034,1,2,2,2,1,1,3,4,2,3,1987,2,2
1989,1,10035,1,2,2,2,1,1,3,4,2,3,1987,2,2
1989,1,10036,1,2,2,2,1,1,3,4,2,3,1983,2,2
1989,1,10037,6,2,2,2,1,1,3,4,2,3,1986,2,2
1989,2,10037,6,3,3,2,1,1,3,4,2,3,1985,2,2
1989,1,10038,1,2,2,2,1,1,3,4,1,3,1976,2,2
1989,1,10039,1,1,1,1,1,1,3,4,1,3,1988,2,2
1989,1,10040,1,3,3,2,1,1,3,4,2,3,1984,2,2
1989,2,10040,2,2,2,2,1,1,3,4,2,3,1976,2,2
1989,1,10041,2,3,3,2,1,1,3,4,1,3,1972,2,2
1989,1,10042,1,2,2,2,1,1,3,4,2,3,1984,2,2
1989,2,10042,2,4,2,2,1,1,3,4,2,3,1984,2,2
1989,3,10042,6,5,5,2,1,1,3,4,2,3,1984,2,2
1989,1,10043,1,3,3,2,1,1,3,4,2,3,1985,2,2
1989,2,10043,1,2,2,2,2,2,3,4,2,3,1975,2,2
1989,1,10044,1,2,2,2,2,2,3,4,2,3,1978,2,1
1989,1,10045,1,2,2,2,1,1,3,4,1,3,1981,2,2
1989,1,10046,2,2,2,2,1,1,3,4,1,3,1989,1,2
1989,2,10046,1,2,2,2,2,2,3,4,2,3,1983,2,2
1989,1,10047,1,2,2,2,2,2,3,4,2,3,1981,2,2
1989,1,10048,1,2,2,2,3,3,3,4,1,3,1986,2,2
1989,1,10049,1,3,3,2,1,1,3,4,2,3,1982,2,2
1989,2,10049,1,2,2,2,1,1,3,4,2,3,1978,2,2
1989,1,10050,9,6,6,2,1,1,3,4,2,3,1963,2,2
1989,1,10051,3,1,1,1,1,1,3,4,1,3,1987,2,2
1989,1,10053,1,2,2,2,1,1,3,4,1,3,1976,2,2
1989,1,10054,2,2,2,1,1,1,3,4,2,3,1971,2,2
1989,2,10054,1,2,2,2,1,1,3,4,2,3,1979,2,2
1989,3,10054,2,2,2,2,1,1,3,4,2,3,1988,2,2
1989,1,10055,1,1,1,1,1,1,3,4,2,3,1977,2,2
1989,1,10056,1,2,2,2,2,2,3,4,2,3,1974,2,2
1989,2,10056,1,2,2,2,1,1,3,4,2,3,1984,2,2
1989,1,10057,1,2,2,2,1,1,3,4,2,3,1987,2,2
1989,1,10058,2,2,2,2,2,2,3,4,2,3,1981,2,2
1989,2,10058,2,2,2,2,1,1,3,4,2,3,1989,2,2
1989,1,10059,1,6,6,1,1,1,3,4,1,3,1972,2,2
1989,1,10060,4,2,2,2,1,1,3,4,2,3,1986,1,2
1989,2,10060,1,4,4,2,1,1,3,4,2,3,1981,2,2
1989,3,10060,6,2,2,2,1,1,3,4,2,3,1982,2,2
1989,1,10061,3,2,2,2,1,1,3,4,2,3,1986,2,2
1989,1,10062,1,4,4,2,1,1,3,4,2,3,1972,2,2
1989,2,10062,2,2,2,1,1,1,3,4,1,3,1986,2,2
1989,1,10063,1,2,2,1,2,2,3,4,1,3,1978,2,2
1989,1,10064,1,2,2,2,1,1,3,4,2,3,1979,2,2
1989,1,10065,1,2,2,2,1,1,3,4,2,3,1987,2,2
1989,2,10065,6,4,4,2,1,1,3,4,2,3,1986,2,2
1989,1,10066,1,2,2,1,1,1,3,4,1,3,1986,1,2
1989,1,10067,1,2,2,2,1,1,3,4,2,3,1977,2,2
1989,2,10067,1,2,2,2,1,1,3,4,2,3,1984,2,2
1989,1,10068,1,2,2,2,1,1,3,4,1,3,1985,2,2
1989,1,10069,6,1,1,1,1,1,3,4,1,3,1984,2,2
1989,1,10070,4,3,3,2,1,1,3,4,2,3,1988,2,2
1989,2,10070,1,2,2,2,1,1,3,4,2,3,1980,2,2
1989,1,10071,1,5,5,2,1,1,3,4,2,3,1978,2,2
1989,2,10071,6,2,2,2,1,1,3,4,2,3,1972,2,2
1989,1,10072,1,1,1,1,1,1,3,4,2,3,1979,1,2
1989,1,10073,1,3,3,2,2,2,3,4,2,3,9999,2,2
1989,2,10073,1,2,2,2,1,1,3,4,2,3,1978,2,2
1989,1,10074,1,2,2,2,1,1,3,4,1,3,1980,2,2
1989,1,10075,1,2,2,2,1,1,3,4,2,3,1986,2,2
1989,2,10075,4,2,2,2,1,1,3,4,2,3,1988,2,2
1989,1,10076,1,2,2,2,1,1,3,4,1,3,1981,2,2
1989,2,10076,1,5,5,2,1,1,3,4,2,3,1977,2,2
1989,1,10077,2,2,2,1,1,1,3,4,1,3,1972,2,2
1989,1,10078,1,2,2,2,1,1,3,4,2,3,1985,2,2
1989,2,10078,2,2,2,2,1,1,3,4,2,3,1989,2,2
1989,1,10079,6,2,2,1,2,2,3,4,2,3,1975,2,2
1989,2,10079,1,5,5,2,1,1,3,4,2,3,1978,2,2
1989,1,10080,1,2,2,2,1,1,3,4,2,3,1972,2,2
1989,1,10081,1,2,2,1,1,1,3,4,1,3,1987,2,2
1989,1,10082,1,5,5,2,1,1,3,4,2,3,1985,2,2
1989,2,10082,4,2,2,1,1,1,3,4,2,3,1981,2,2
1989,1,10083,1,2,2,1,1,1,3,4,1,3,1988,2,2
1989,1,10084,2,2,2,2,1,1,3,4,2,3,1987,2,1
1989,1,10085,6,4,4,2,1,1,3,4,2,3,1988,2,2
1989,2,10085,2,2,2,2,1,1,3,4,2,3,1984,2,2
1989,1,10086,6,2,2,2,1,1,3,4,2,3,1977,2,2
1989,2,10086,6,2,2,2,1,1,3,4,2,3,1977,2,2
1989,1,10087,1,6,6,1,1,1,3,4,1,3,1984,2,2
1989,1,10088,1,2,2,1,1,1,3,4,2,3,1981,2,2
1989,2,10088,1,2,2,2,1,1,3,4,2,3,1985,2,2
1989,1,10089,6,5,5,2,1,1,3,4,2,3,1988,2,2
1989,2,10089,1,2,2,2,1,1,3,4,2,3,1988,2,2
